commodity,year,type,msprice,msp_filter
Maize,2015,Kharif Crops,1325.0,1
Ragi_Maldandi,2015,Kharif Crops,1650.0,1
Pigeon Pea (Tur),2015,Kharif Crops,4425.0,1
Spilt Gerrn Gram,2015,Kharif Crops,4650.0,1
Split Black Gram,2015,Kharif Crops,4425.0,1
Cotton,2015,Kharif Crops,3800.0,1
Cotton_Long Staple,2015,Kharif Crops,4100.0,1
Gr.Nut Kernels,2015,Kharif Crops,4030.0,1
Sunflower,2015,Kharif Crops,3800.0,1
Soyabean,2015,Kharif Crops,2600.0,1
Sesamum,2015,Kharif Crops,4700.0,1
Niger-Seed,2015,Kharif Crops,3650.0,1
Wheat(Husked),2015,Rabi Crops,1525.0,1
Wheat(Unhusked),2015,Rabi Crops,1525.0,1
Barli,2015,Rabi Crops,1225.0,1
Gram_Yellow,2015,Rabi Crops,3425.0,1
Masur_Yellow,2015,Rabi Crops,3325.0,1
Mustard,2015,Rabi Crops,3350.0,1
Safflower,2015,Rabi Crops,3300.0,1
Toria_Yellow,2015,Rabi Crops,3290.0,1
Copra (Milling)_Yellow,2015,Other Crops,5550.0,1
Copra (Ball)_Yellow,2015,Other Crops,5830.0,1
Coconut,2015,Other Crops,1500.0,1
Jute_Yellow,2015,Other Crops,2700.0,1
Sugar-Cane,2015,Other Crops,230.0,1
Paddy-Unhusked,2016,Kharif Crops,1470.0,1
Rice(Paddy-Hus),2016,Kharif Crops,1510.0,1
Jowar_Hybrid,2016,Kharif Crops,1625.0,1
Sorgum(Jawar),2016,Kharif Crops,1650.0,1
Bajri,2016,Kharif Crops,1330.0,1
Maize,2016,Kharif Crops,1365.0,1
Ragi_Maldandi,2016,Kharif Crops,1725.0,1
Pigeon Pea (Tur),2016,Kharif Crops,4625.0,1
Spilt Gerrn Gram,2016,Kharif Crops,4800.0,1
Split Black Gram,2016,Kharif Crops,4575.0,1
Cotton,2016,Kharif Crops,3860.0,1
Cotton_Long Staple,2016,Kharif Crops,4160.0,1
Gr.Nut Kernels,2016,Kharif Crops,4120.0,1
Sunflower,2016,Kharif Crops,3850.0,1
Soyabean,2016,Kharif Crops,2675.0,1
Sesamum,2016,Kharif Crops,4800.0,1
Niger-Seed,2016,Kharif Crops,3725.0,1
Copra (Milling)_Yellow,2016,Other Crops,5950.0,1
Copra (Ball)_Yellow,2016,Other Crops,6240.0,1
Coconut,2016,Other Crops,1600.0,1
Jute_Yellow,2016,Other Crops,3200.0,1
Sugarcane,2016,Other Crops,230.0,1
